       FID        IID    SOL           C1           C2 
  ARG482_1   ARG482_1      0   -0.0468939     0.114709 
  ARG482_3   ARG482_3      0   -0.0733023     0.120042 
  ARG482_4   ARG482_4      0    0.0123192   -0.0186865 
  ARG482_5   ARG482_5      0    -0.081948     0.090182 
  BOV730_1   BOV730_1      0   -0.0355317    -0.010976 
  BOV730_2   BOV730_2      0    -0.116837   -0.0371936 
  BOV730_3   BOV730_3      0   -0.0480393   -0.0530671 
  BOV730_4   BOV730_4      0    0.0186456   -0.0293136 
  BOV730_5   BOV730_5      0    -0.114883  -0.00314079 
  BOV461_1   BOV461_1      0    0.0770606    0.0611345 
  BOV461_2   BOV461_2      0   -0.0446317    0.0246454 
  BOV461_4   BOV461_4      0   -0.0364953     0.076644 
  BOV461_5   BOV461_5      0    0.0578032    0.0724676 
  BOV968_1   BOV968_1      0  -0.00685749   -0.0980456 
  BOV968_2   BOV968_2      0   -0.0637466  -0.00255487 
  BOV968_3   BOV968_3      0   -0.0347598    -0.017191 
  BOV968_4   BOV968_4      0    -0.118738    -0.063713 
  BOV968_5   BOV968_5      0    -0.020254   -0.0598243 
 BOV1133_1  BOV1133_1      0   -0.0958215  -0.00821316 
 BOV1133_2  BOV1133_2      0   -0.0323854   -0.0422513 
 BOV1133_3  BOV1133_3      0   -0.0890612   -0.0341235 
 BOV1133_4  BOV1133_4      0    0.0645409   -0.0139118 
 BOV1133_5  BOV1133_5      0   -0.0629664   -0.0455463 
 BOV1083_1  BOV1083_1      0    0.0819744     0.110199 
 BOV1083_2  BOV1083_2      0     0.104553    0.0929944 
 BOV1083_3  BOV1083_3      0    0.0557471     0.154053 
 BOV1083_4  BOV1083_4      0     0.129709     0.100466 
 BOV1083_5  BOV1083_5      0    0.0744232    0.0820881 
  BOV389_1   BOV389_1      0   -0.0152971   -0.0488266 
  BOV389_2   BOV389_2      0    0.0440253   -0.0362004 
  BOV389_3   BOV389_3      0    0.0409235    -0.115952 
  BOV389_4   BOV389_4      0   -0.0485941   -0.0133547 
  BOV389_5   BOV389_5      0   0.00788087   -0.0705173 
  BOV320_1   BOV320_1      0   0.00194494     -0.10603 
  BOV320_2   BOV320_2      0   -0.0535554   -0.0275841 
  BOV320_3   BOV320_3      0    -0.113667   -0.0711503 
  BOV320_4   BOV320_4      0   -0.0466015    -0.052407 
  BOV320_5   BOV320_5      0   -0.0431339   -0.0509647 
  BOV705_1   BOV705_1      0    0.0907264   -0.0397987 
  BOV705_2   BOV705_2      0   -0.0346691    0.0128005 
  BOV705_3   BOV705_3      0    0.0412506    0.0131063 
  BOV705_5   BOV705_5      0  -0.00300187   -0.0309999 
  BOV360_1   BOV360_1      0   -0.0507578   -0.0083861 
  BOV360_2   BOV360_2      0     -0.12108   -0.0394144 
  BOV360_3   BOV360_3      0   -0.0132763  -0.00450336 
  BOV360_4   BOV360_4      0   -0.0446032   0.00882543 
  BOV360_5   BOV360_5      0   -0.0163228   0.00260936 
 BOV1002_1  BOV1002_1      0   -0.0310335   -0.0213632 
 BOV1002_2  BOV1002_2      0   -0.0101145   -0.0428206 
 BOV1002_3  BOV1002_3      0   -0.0749633   -0.0176516 
 BOV1002_4  BOV1002_4      0   -0.0387732    0.0112999 
 BOV1002_5  BOV1002_5      0   -0.0471979   0.00277813 
 BOV1037_1  BOV1037_1      0     0.175004   -0.0287408 
 BOV1037_2  BOV1037_2      0    0.0998847    0.0103978 
 BOV1037_3  BOV1037_3      0     0.101952    -0.074385 
 BOV1037_4  BOV1037_4      0    0.0975473   -0.0715423 
 BOV1037_5  BOV1037_5      0     0.142783    -0.023826 
  BOV438_1   BOV438_1      0    0.0497714   -0.0222802 
  BOV438_2   BOV438_2      0     0.151761   -0.0291347 
  BOV438_3   BOV438_3      0    0.0996741   -0.0599473 
  BOV438_4   BOV438_4      0    0.0541937   -0.0406954 
  BOV438_5   BOV438_5      0     0.054579   -0.0313069 
 BOV1062_1  BOV1062_1      0     0.115419   -0.0268261 
 BOV1062_2  BOV1062_2      0    0.0592491   -0.0359512 
 BOV1062_3  BOV1062_3      0    0.0902402   -0.0605512 
 BOV1062_4  BOV1062_4      0    0.0917011    0.0105995 
 BOV1062_5  BOV1062_5      0    0.0863377   -0.0666146 
  BOV585_1   BOV585_1      0    0.0274134    0.0997137 
  BOV585_2   BOV585_2      0    0.0309727    0.0412527 
  BOV585_3   BOV585_3      0    0.0156275    0.0974959 
  BOV585_4   BOV585_4      0    0.0405691     0.110873 
  BOV585_5   BOV585_5      0   -0.0122764     0.061132 
  BOV725_1   BOV725_1      0   -0.0642108   -0.0282787 
  BOV725_2   BOV725_2      0     0.048446  -0.00935174 
  BOV725_3   BOV725_3      0   -0.0581111   -0.0338489 
  BOV725_4   BOV725_4      0    0.0388697 -0.000724288 
  BOV725_5   BOV725_5      0    0.0370793    -0.027211 
