Legend,Shape,FID,IID,Race,Label,Altitude,Latitude,Longitude,SOL,C1,C2,IID
Argentina,Landrace,ARG482_1,ARG482,Pisincho,NA,2287,-23,65,0,-0.0468939,0.114709,ARG482_1
Argentina,Landrace,ARG482_3,ARG482,Pisincho,NA,2287,-23,65,0,-0.0733023,0.120042,ARG482_3
Argentina,Landrace,ARG482_4,ARG482,Pisincho,NA,2287,-23,65,0,0.0123192,-0.0186865,ARG482_4
Argentina,Landrace,ARG482_5,ARG482,Pisincho,NA,2287,-23,65,0,-0.081948,0.090182,ARG482_5
Bolivia,Landrace,BOV1002_1,BOV1002,Confite puneno,NA,3128,-19,65,0,-0.0310335,-0.0213632,BOV1002_1
Bolivia,Landrace,BOV1002_2,BOV1002,Confite puneno,NA,3128,-19,65,0,-0.0101145,-0.0428206,BOV1002_2
Bolivia,Landrace,BOV1002_3,BOV1002,Confite puneno,NA,3128,-19,65,0,-0.0749633,-0.0176516,BOV1002_3
Bolivia,Landrace,BOV1002_4,BOV1002,Confite puneno,NA,3128,-19,65,0,-0.0387732,0.0112999,BOV1002_4
Bolivia,Landrace,BOV1002_5,BOV1002,Confite puneno,NA,3128,-19,65,0,-0.0471979,0.00277813,BOV1002_5
Bolivia,Landrace,BOV1032_1,BOV1032,Enano,NA,180,-11,68,0,0.013037,-0.0502813,BOV1032_1
Bolivia,Landrace,BOV1032_2,BOV1032,Enano,NA,180,-11,68,0,0.0285938,-0.0314634,BOV1032_2
Bolivia,Landrace,BOV1032_3,BOV1032,Enano,NA,180,-11,68,0,0.155813,-0.0344844,BOV1032_3
Bolivia,Landrace,BOV1032_4,BOV1032,Enano,NA,180,-11,68,0,0.0102403,-0.0332108,BOV1032_4
Bolivia,Landrace,BOV1032_5,BOV1032,Enano,NA,180,-11,68,0,0.0558796,-0.0211958,BOV1032_5
Bolivia,Landrace,BOV1037_1,BOV1037,Coroico,NA,170,-11,68,0,0.175004,-0.0287408,BOV1037_1
Bolivia,Landrace,BOV1037_2,BOV1037,Coroico,NA,170,-11,68,0,0.0998847,0.0103978,BOV1037_2
Bolivia,Landrace,BOV1037_3,BOV1037,Coroico,NA,170,-11,68,0,0.101952,-0.074385,BOV1037_3
Bolivia,Landrace,BOV1037_4,BOV1037,Coroico,NA,170,-11,68,0,0.0975473,-0.0715423,BOV1037_4
Bolivia,Landrace,BOV1037_5,BOV1037,Coroico,NA,170,-11,68,0,0.142783,-0.023826,BOV1037_5
Bolivia,Landrace,BOV1062_1,BOV1062,Coroico blanco,NA,100,-14,65,0,0.115419,-0.0268261,BOV1062_1
Bolivia,Landrace,BOV1062_2,BOV1062,Coroico blanco,NA,100,-14,65,0,0.0592491,-0.0359512,BOV1062_2
Bolivia,Landrace,BOV1062_3,BOV1062,Coroico blanco,NA,100,-14,65,0,0.0902402,-0.0605512,BOV1062_3
Bolivia,Landrace,BOV1062_4,BOV1062,Coroico blanco,NA,100,-14,65,0,0.0917011,0.0105995,BOV1062_4
Bolivia,Landrace,BOV1062_5,BOV1062,Coroico blanco,NA,100,-14,65,0,0.0863377,-0.0666146,BOV1062_5
Bolivia,Landrace,BOV1083_1,BOV1083,Cateto,NA,240,-11,67,0,0.0819744,0.110199,BOV1083_1
Bolivia,Landrace,BOV1083_2,BOV1083,Cateto,NA,240,-11,67,0,0.104553,0.0929944,BOV1083_2
Bolivia,Landrace,BOV1083_3,BOV1083,Cateto,NA,240,-11,67,0,0.0557471,0.154053,BOV1083_3
Bolivia,Landrace,BOV1083_4,BOV1083,Cateto,NA,240,-11,67,0,0.129709,0.100466,BOV1083_4
Bolivia,Landrace,BOV1083_5,BOV1083,Cateto,NA,240,-11,67,0,0.0744232,0.0820881,BOV1083_5
Bolivia,Landrace,BOV1133_1,BOV1133,Camba,NA,1570,-16,68,0,-0.0958215,-0.00821316,BOV1133_1
Bolivia,Landrace,BOV1133_2,BOV1133,Camba,NA,1570,-16,68,0,-0.0323854,-0.0422513,BOV1133_2
Bolivia,Landrace,BOV1133_3,BOV1133,Camba,NA,1570,-16,68,0,-0.0890612,-0.0341235,BOV1133_3
Bolivia,Landrace,BOV1133_4,BOV1133,Camba,NA,1570,-16,68,0,0.0645409,-0.0139118,BOV1133_4
Bolivia,Landrace,BOV1133_5,BOV1133,Camba,NA,1570,-16,68,0,-0.0629664,-0.0455463,BOV1133_5
Bolivia,Landrace,BOV320_1,BOV320,Checchi,NA,2080,-17,66,0,0.00194494,-0.10603,BOV320_1
Bolivia,Landrace,BOV320_2,BOV320,Checchi,NA,2080,-17,66,0,-0.0535554,-0.0275841,BOV320_2
Bolivia,Landrace,BOV320_3,BOV320,Checchi,NA,2080,-17,66,0,-0.113667,-0.0711503,BOV320_3
Bolivia,Landrace,BOV320_4,BOV320,Checchi,NA,2080,-17,66,0,-0.0466015,-0.052407,BOV320_4
Bolivia,Landrace,BOV320_5,BOV320,Checchi,NA,2080,-17,66,0,-0.0431339,-0.0509647,BOV320_5
Bolivia,Landrace,BOV360_1,BOV360,Chuspillu,NA,1921,-21,64,0,-0.0507578,-0.0083861,BOV360_1
Bolivia,Landrace,BOV360_2,BOV360,Chuspillu,NA,1921,-21,64,0,-0.12108,-0.0394144,BOV360_2
Bolivia,Landrace,BOV360_3,BOV360,Chuspillu,NA,1921,-21,64,0,-0.0132763,-0.00450336,BOV360_3
Bolivia,Landrace,BOV360_4,BOV360,Chuspillu,NA,1921,-21,64,0,-0.0446032,0.00882543,BOV360_4
