# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_region_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
AC219006.2_FG007	AC219006.2_FG007	AC219006.2_FGT007	protein_coding	0	0	0	73	0	0	0	73	0	0	0	0	0	0	0	0	73	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T01	protein_coding	0	0	0	90	0	0	0	90	0	0	0	0	0	0	0	0	90	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T02	protein_coding	0	0	0	90	0	0	0	90	0	0	0	0	0	0	0	0	90	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T03	protein_coding	0	0	0	90	0	0	0	90	0	0	0	0	0	0	0	0	90	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T04	protein_coding	0	0	0	90	0	0	0	90	0	0	0	0	0	0	0	0	90	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T05	protein_coding	0	0	0	66	0	0	0	66	0	0	0	0	0	0	0	0	66	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T06	protein_coding	0	0	0	90	0	0	0	90	0	0	0	0	0	0	0	0	90	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G011357	GRMZM2G011357	GRMZM2G011357_T01	protein_coding	0	11	3	106	4	0	3	0	52	3	0	0	0	0	11	47	0	0	0	14	0	340	52	0	119	0	0	0	0	0	0	47	0	5000	4	0	253	3	0	111
GRMZM2G031432	GRMZM2G031432	GRMZM2G031432_T01	protein_coding	0	10	4	53	1	0	3	0	26	4	0	0	0	0	10	23	0	0	0	14	0	288	26	0	103	0	0	0	0	0	0	23	0	5000	1	0	42	3	0	84
GRMZM2G033931	GRMZM2G033931	GRMZM2G033931_T01	protein_coding	0	0	0	84	0	0	0	84	0	0	0	0	0	0	0	0	84	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G033962	GRMZM2G033962	GRMZM2G033962_T01	protein_coding	1	25	35	176	9	0	0	0	85	35	0	0	3	1	22	82	0	0	0	58	0	568	85	0	129	0	0	0	3	0	6	82	0	5000	9	0	463	0	0	0
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T01	protein_coding	0	6	7	62	8	0	1	0	6	7	0	0	0	0	6	47	0	0	0	13	0	674	6	0	104	0	0	0	0	0	0	47	0	5000	8	0	353	1	0	162
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T02	protein_coding	0	3	2	70	18	0	1	0	4	2	0	0	0	0	3	47	0	0	0	5	0	807	4	0	107	0	0	0	0	0	0	47	0	5000	18	0	600	1	0	162
GRMZM2G045275	GRMZM2G045275	GRMZM2G045275_T01	protein_coding	0	27	30	146	18	0	6	12	67	30	0	0	0	0	27	43	12	0	5000	57	0	467	67	0	2291	0	0	0	0	0	0	43	0	5000	18	0	549	6	0	230
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T01	protein_coding	0	0	0	116	0	0	0	116	0	0	0	0	0	0	0	0	116	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T02	protein_coding	0	0	0	116	0	0	0	116	0	0	0	0	0	0	0	0	116	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T03	protein_coding	0	0	0	116	0	0	0	116	0	0	0	0	0	0	0	0	116	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T04	protein_coding	0	0	0	116	0	0	0	116	0	0	0	0	0	0	0	0	116	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T05	protein_coding	0	0	0	53	0	0	0	53	0	0	0	0	0	0	0	0	53	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045565	GRMZM2G045565	GRMZM2G045565_T01	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0
GRMZM2G050915	GRMZM2G050915	GRMZM2G050915_T01	protein_coding	0	0	0	28	0	0	0	28	0	0	0	0	0	0	0	0	28	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G050952	GRMZM2G050952	GRMZM2G050952_T01	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	5000	0	0	0	0	0	0
GRMZM2G067921	GRMZM2G067921	GRMZM2G067921_T01	protein_coding	0	1	0	22	3	0	3	0	1	0	0	0	0	0	1	15	0	0	0	1	0	734	1	0	77	0	0	0	0	0	0	15	0	5000	3	0	601	3	0	194
GRMZM2G085218	GRMZM2G085218	GRMZM2G085218_T01	protein_coding	0	1	5	38	6	0	1	0	0	5	0	0	0	0	1	31	0	0	0	6	0	1098	0	0	0	0	0	0	0	0	0	31	0	5000	6	0	291	1	0	138
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T01	protein_coding	0	0	0	44	0	0	0	44	0	0	0	0	0	0	0	0	44	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T02	protein_coding	0	0	0	44	0	0	0	44	0	0	0	0	0	0	0	0	44	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T03	protein_coding	0	0	0	44	0	0	0	44	0	0	0	0	0	0	0	0	44	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G092174	GRMZM2G092174	GRMZM2G092174_T01	protein_coding	0	24	7	78	1	0	0	1	48	7	0	0	1	0	23	28	1	0	5000	30	0	2310	48	0	682	0	0	0	1	0	6	28	0	5000	1	0	46	0	0	0
GRMZM2G095598	GRMZM2G095598	GRMZM2G095598_T01	protein_coding	0	6	4	64	3	1	7	1	3	4	0	1	0	0	4	50	1	0	5000	8	0	823	3	0	158	0	0	0	1	0	3	50	0	5000	3	0	184	8	0	202
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T01	protein_coding	0	0	0	29	0	0	0	29	0	0	0	0	0	0	0	0	29	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T02	protein_coding	0	0	0	29	0	0	0	29	0	0	0	0	0	0	0	0	29	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154580	GRMZM2G154580	GRMZM2G154580_T01	protein_coding	0	10	9	17	3	1	3	5	0	9	0	0	0	0	9	6	5	0	5000	18	0	895	0	0	0	0	0	0	0	0	0	6	0	5000	3	0	91	4	0	240
GRMZM2G179264	GRMZM2G179264	GRMZM2G179264_T01	protein_coding	0	4	0	46	0	0	1	1	8	0	0	0	0	0	4	36	1	0	5000	4	0	294	8	0	203	0	0	0	0	0	0	36	0	5000	0	0	0	1	0	99
GRMZM2G179274	GRMZM2G179274	GRMZM2G179274_T01	protein_coding	0	0	0	43	0	0	0	43	0	0	0	0	0	0	0	0	43	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
