# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+splice_region_variant+3_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+splice_region_variant+5_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant+exon_region	variants_effect_splice_acceptor_variant+splice_region_variant+3_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_region_variant+5_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_region_variant+intron_variant+exon_region	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_donor_variant+splice_region_variant+5_prime_UTR_variant+intron_variant	variants_effect_splice_donor_variant+splice_region_variant+intron_variant+exon_region	variants_effect_splice_region_variant+exon_region	variants_effect_splice_region_variant+intron_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
AC219006.2_FG007	AC219006.2_FG007	AC219006.2_FGT007	protein_coding	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T01	protein_coding	34	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T02	protein_coding	34	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T03	protein_coding	34	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T04	protein_coding	34	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T05	protein_coding	32	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T06	protein_coding	34	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G011357	GRMZM2G011357	GRMZM2G011357_T01	protein_coding	60	4	2	2	6	12	0	0	0	0	0	6	0	0	6	2	0	20	2	0	5000	6	0	340	12	0	1441	6	0	298	6	0	340	2	0	863	20	0	5000	4	0	253	2	0	111
GRMZM2G031432	GRMZM2G031432	GRMZM2G031432_T01	protein_coding	25	1	2	0	3	4	0	0	2	0	0	2	0	0	2	3	0	6	0	0	0	3	0	476	4	0	720	4	0	288	2	0	476	3	0	288	6	0	5000	1	0	42	2	0	84
GRMZM2G033931	GRMZM2G033931	GRMZM2G033931_T01	protein_coding	24	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
