# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_region_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
AC219006.2_FG007	AC219006.2_FG007	AC219006.2_FGT007	protein_coding	0	0	0	62	0	0	0	62	0	0	0	0	0	0	0	0	62	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T01	protein_coding	0	0	0	66	0	0	0	66	0	0	0	0	0	0	0	0	66	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T02	protein_coding	0	0	0	66	0	0	0	66	0	0	0	0	0	0	0	0	66	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T03	protein_coding	0	0	0	66	0	0	0	66	0	0	0	0	0	0	0	0	66	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T04	protein_coding	0	0	0	66	0	0	0	66	0	0	0	0	0	0	0	0	66	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T05	protein_coding	0	0	0	62	0	0	0	62	0	0	0	0	0	0	0	0	62	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T06	protein_coding	0	0	0	66	0	0	0	66	0	0	0	0	0	0	0	0	66	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G011357	GRMZM2G011357	GRMZM2G011357_T01	protein_coding	0	9	3	80	3	0	3	0	30	3	0	0	0	0	9	44	0	0	0	12	0	298	30	0	119	0	0	0	0	0	0	44	0	5000	3	0	253	3	0	111
GRMZM2G031432	GRMZM2G031432	GRMZM2G031432_T01	protein_coding	0	7	2	44	1	0	1	0	23	2	0	0	0	0	7	19	0	0	0	9	0	288	23	0	103	0	0	0	0	0	0	19	0	5000	1	0	42	1	0	84
GRMZM2G033931	GRMZM2G033931	GRMZM2G033931_T01	protein_coding	0	0	0	74	0	0	0	74	0	0	0	0	0	0	0	0	74	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
