NUM LOCI ........ ::  1513.0
CUTOFF .......... ::  6.60938532716e-06
AMPLICONS REMOVED ::  [AMPL5079, AMPL5085, AMPL5191, AMPL5082, AMPL5083, AMPL5084, AMPL5078, AMPL3728]
TO DROP ......... :: 
      CHR        POS       AMP
641     8  131579342  AMPL5191
1296    2  219439177  AMPL5078
1299    2  219439231  AMPL5078
1301    2  219439319  AMPL5079
1302    2  219439336  AMPL5079
1303    2  219439372  AMPL5079
1304    2  219439381  AMPL5079
1315    2  219439797  AMPL5082
1320    2  219439910  AMPL5083
1321    2  219439944  AMPL5083
1323    2  219439962  AMPL5083
1324    2  219439998  AMPL5083
1325    2  219440064  AMPL5083
1326    2  219440079  AMPL5083
1330    2  219440229  AMPL5084
1332    2  219440376  AMPL5084
1333    2  219440381  AMPL5084
1337    2  219440486  AMPL3728
1343    2  219440639  AMPL5085
1344    2  219440663  AMPL5085
1345    2  219440668  AMPL5085
1347    2  219440689  AMPL5085
1350    2  219440812  AMPL5085
1323    2  219439392  AMPL5079
1324    2  219439410  AMPL5079
1325    2  219439411  AMPL5079
1361    2  219440596  AMPL5085
1362    2  219440601  AMPL5085
1366    2  219440673  AMPL5085
1368    2  219440702  AMPL5085
1369    2  219440791  AMPL5085
649     8  131579346  AMPL5191
650     8  131579423  AMPL5191
1332    2  219439793  AMPL5082
1334    2  219439824  AMPL5082
1335    2  219439847  AMPL5082
1336    2  219439878  AMPL5083
1337    2  219439880  AMPL5083
1340    2  219439953  AMPL5083
1345    2  219440143  AMPL5084
1346    2  219440147  AMPL5084
1347    2  219440160  AMPL5084
1348    2  219440228  AMPL5084
1350    2  219440313  AMPL5084
1351    2  219440370  AMPL5084
1354    2  219440386  AMPL5084
1311    2  219439112  AMPL5078
1312    2  219439117  AMPL5078
1313    2  219439164  AMPL5078
1315    2  219439191  AMPL5078
1316    2  219439196  AMPL5078
1318    2  219439268  AMPL5078
1355    2  219440404  AMPL3728
1356    2  219440435  AMPL3728
1358    2  219440515  AMPL3728
1359    2  219440530  AMPL3728
1360    2  219440541  AMPL3728
	 >>> FAILED 48 INDIVIDUAL ENTRIES FROM 57 UNIQUE [CHROM: POS] KEYS
OUTFILE  ::  PHETE-FILTERED_allsamplesafterfiltering.dupremoved.mpileup.vcf
RUNTIME  ::  9.57508301735 [s]
