NUM LOCI ........ ::  1513.0
CUTOFF .......... ::  0.000132187706543
AMPLICONS REMOVED ::  []
TO DROP ......... :: 
      CHR        POS       AMP
212     9  106532576  AMPL2678
444     9  135252189  AMPL3884
608     8  131578347  AMPL3926
609     8  131578419  AMPL3926
610     8  131578431  AMPL3926
611     8  131578443  AMPL3926
613     8  131578466  AMPL3926
621     8  131578618  AMPL5188
628     8  131578833  AMPL5189
629     8  131578838  AMPL5189
630     8  131578905  AMPL5189
632     8  131578928  AMPL5189
633     8  131578941  AMPL5189
641     8  131579342  AMPL5191
1296    2  219439177  AMPL5078
1299    2  219439231  AMPL5078
1301    2  219439319  AMPL5079
1302    2  219439336  AMPL5079
1303    2  219439372  AMPL5079
1304    2  219439381  AMPL5079
1315    2  219439797  AMPL5082
1320    2  219439910  AMPL5083
1321    2  219439944  AMPL5083
1323    2  219439962  AMPL5083
1324    2  219439998  AMPL5083
1325    2  219440064  AMPL5083
1326    2  219440079  AMPL5083
1330    2  219440229  AMPL5084
1332    2  219440376  AMPL5084
1333    2  219440381  AMPL5084
1337    2  219440486  AMPL3728
1340    2  219440541  AMPL3728
1343    2  219440639  AMPL5085
1344    2  219440663  AMPL5085
1345    2  219440668  AMPL5085
1347    2  219440689  AMPL5085
1350    2  219440812  AMPL5085
	 >>> FAILED 37 INDIVIDUAL ENTRIES FROM 37 UNIQUE [CHROM: POS] KEYS
OUTFILE  ::  PHETE-FILTERED_allsamplesafterfiltering.dupremoved.mpileup.vcf
RUNTIME  ::  9.05629897118 [s]
