# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+splice_region_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_region_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
AC219006.2_FG007	AC219006.2_FG007	AC219006.2_FGT007	protein_coding	0	0	0	86	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	86	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T01	protein_coding	0	0	0	334	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	334	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T02	protein_coding	0	0	0	334	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	334	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T03	protein_coding	0	0	0	334	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	334	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T04	protein_coding	0	0	0	334	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	334	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T05	protein_coding	0	0	0	272	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	272	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010871	GRMZM2G010871	GRMZM2G010871_T06	protein_coding	0	0	0	332	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	332	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G011357	GRMZM2G011357	GRMZM2G011357_T01	protein_coding	0	38	24	386	12	0	14	0	0	192	24	0	0	0	2	0	0	36	168	0	0	0	60	0	340	192	0	119	0	0	0	2	0	6	0	0	0	168	0	5000	12	0	253	14	0	111
GRMZM2G031432	GRMZM2G031432	GRMZM2G031432_T01	protein_coding	0	12	12	104	3	0	3	0	0	42	12	0	0	0	0	0	0	12	56	0	0	0	24	0	288	42	0	103	0	0	0	0	0	0	0	0	0	56	0	5000	3	0	42	3	0	84
GRMZM2G033931	GRMZM2G033931	GRMZM2G033931_T01	protein_coding	0	0	0	83	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	83	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G033962	GRMZM2G033962	GRMZM2G033962_T01	protein_coding	4	24	41	323	5	0	0	4	0	176	40	1	0	0	5	4	0	19	138	4	0	5000	64	0	697	176	0	129	0	0	0	5	0	6	0	0	0	138	0	5000	5	0	463	0	0	0
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T01	protein_coding	0	12	12	137	8	1	5	0	0	11	12	0	0	0	1	0	0	10	113	0	0	0	22	0	674	11	0	104	0	0	0	1	0	6	0	0	0	113	0	5000	8	0	353	6	0	162
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T02	protein_coding	1	8	8	144	18	1	5	0	0	8	8	0	0	0	0	0	1	7	113	0	0	0	16	0	807	8	0	107	0	0	0	0	0	0	0	0	0	113	0	5000	18	0	600	6	0	162
